project,cite_count
Looking for Whitman,4
Shakespeare Quartos Archive,2
THATCamp,2
Visible Knowledge Projects,1
Open Annotation Collaboration (OAC),1
Metadata Offer New Knowledge (MONK),1
The Online Archive of Nineteenth-Century U.S. Women’s Writings,1
Emory Women Writers Resource Project,1
Crossroads,1
A Living Laboratory: Revitalizing General Education for a 21st Century College of Technology,1
