project,cite_count
Woodchipper,8
Looking for Whitman,7
THATCamp,3
Shakespeare Quartos Archive,2
Topicmarks,2
Preserving Virtual Worlds,2
SmartChoices,2
The Online Archive of Nineteenth-Century U.S. Women’s Writings,1
Emory Women Writers Resource Project,1
Crossroads,1
